FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
coshifter.xyz,49.12.69.204,596.416916999995,32,28000000000,43751436458,0,joined,11,10,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
daemongate.io,178.156.142.116,396.42399999999907,32,27713876625,134484879774,0,joined,24,24,57,57,0,0,57,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
1337pump.lol,104.21.61.115,282.2627499999944,29,24905000000,16568559935,0,joined,2,0,57,54,3,0,36,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
karakartal.xyz,65.109.169.170,613.9517079999787,33-pre,22500000000,13404525716,0,joined,5,0,57,52,5,0,29,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
go2.fullnode.agency,103.173.134.11,953.6769159999967,30,22297723294,27091639703,0,joined,3,0,57,55,2,0,36,N/A,", IN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
upin3.fullnode.agency,103.173.134.24,1048.0938339999993,30,21708545483,26639250000,0,joined,6,4,57,41,16,0,24,N/A,", IN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
tefera.online,144.76.218.21,902.8972920000087,29,21580750000,16698755212,0,joined,10,10,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
treex.site,142.132.194.170,992.5332909999997,29,21531250000,27340147923,0,joined,7,7,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
best1.fullnode.agency,103.173.134.19,913.4309169999906,30,20779727165,9706950645,0,joined,2,0,57,41,16,0,24,N/A,", IN",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
cavey65.com,83.87.213.115,650.5629159999953,31,20627440053,0,0,joined,0,0,29,3,26,3,0,N/A,"Capelle aan den IJssel, NL",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
williams-ario.xyz,N/A,-1,N/A,20081887245,61740319825,0,joined,14,14,57,55,2,2,0,N/A,N/A,certificate has expired,N/A,[object Object],[object Object],[object Object]
dorukalpkaya.xyz,157.180.40.48,613.8624169999966,32,20016239499,7652225805,0,joined,3,3,51,50,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
hazmaniaxbt1.online,49.13.166.180,577.9743750000198,30,18850816131,24145918053,0,joined,8,8,57,55,2,0,20,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
perma.surf,37.120.186.174,547.8930420000106,29,18730361662,36189387101,0,joined,2,0,57,35,22,0,35,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
reetas.xyz,49.13.118.192,584.8302919999987,29,17472500000,16282131575,0,joined,13,13,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
